received_at,product_name,sub_product,issue_name,sub_issue,narrative,company_public_response,company_name,state_code,zip_code,tags,submitted_via,sent_to_company_at,company_response,timely_response_raw,complaint_id,escalation_flag,is_in_progress,issue_key
2026-08-14 22:33:37+00:00,"Money transfer, virtual currency, or money service",Domestic (US) money transfer,Other transaction problem,,,,"Credit Karma, LLC",CA,92604,,Web,2026-08-14 22:44:21+00:00,Closed with monetary relief,No,25379545,True,False,"Money transfer, virtual currency, or money service::Other transaction problem"
2026-08-14 18:18:02+00:00,Checking or savings account,Checking account,Closing an account,Company closed your account,,,FinCo Services Inc DBA Current,MA,02121,,Web,2026-08-14 18:49:40+00:00,Closed with explanation,No,25367521,True,False,Checking or savings account::Closing an account
2026-08-14 15:59:56+00:00,Credit card,General-purpose credit card or charge card,Incorrect information on your report,Account status incorrect,,,"Snap US Holdings, LLC",FL,335XX,,Web,2026-08-14 16:05:11+00:00,Untimely response,No,25359446,True,False,Credit card::Incorrect information on your report
2026-08-14 04:21:39+00:00,Checking or savings account,Checking account,Managing an account,Problem using a debit or ATM card,,,FinCo Services Inc DBA Current,KS,662XX,Servicemember,Web,2026-08-14 04:29:22+00:00,Closed with explanation,No,25341735,True,False,Checking or savings account::Managing an account
2026-08-13 17:42:58+00:00,Credit card,General-purpose credit card or charge card,"Other features, terms, or problems",Privacy issues,,,Exto Inc.,TX,78245,Servicemember,Web,2026-08-13 18:02:09+00:00,Closed with explanation,No,25316137,True,False,"Credit card::Other features, terms, or problems"
2026-08-11 21:59:53+00:00,Credit card,General-purpose credit card or charge card,"Advertising and marketing, including promotional offers",Confusing or misleading advertising about the credit card,,,Credit Service Company,NY,14120,Older American,Web,2026-08-11 22:15:50+00:00,Untimely response,No,25230799,True,False,"Credit card::Advertising and marketing, including promotional offers"
2026-08-11 21:29:11+00:00,"Money transfer, virtual currency, or money service",Mobile or digital wallet,Trouble accessing funds in your mobile or digital wallet,,,,Airtm Inc.,,,,Web,2026-08-11 22:00:58+00:00,Untimely response,No,25230072,True,False,"Money transfer, virtual currency, or money service::Trouble accessing funds in your mobile or digital wallet"
2026-08-11 14:10:42+00:00,Credit card,General-purpose credit card or charge card,Fees or interest,Unexpected increase in interest rate,,,"Capital Accounts, LLC",IL,60586,,Web,2026-08-11 14:31:15+00:00,Untimely response,No,25206503,True,False,Credit card::Fees or interest
2026-08-10 17:21:35+00:00,Checking or savings account,Checking account,Managing an account,Deposits and withdrawals,,,Glacier Bancorp Inc.,UT,84103,,Web,2026-08-10 17:35:32+00:00,Closed with explanation,No,25165082,True,False,Checking or savings account::Managing an account
2026-08-10 12:33:11+00:00,Checking or savings account,Checking account,Opening an account,Didn't receive terms that were advertised,,Company has responded to the consumer and the CFPB and chooses not to provide a public response,FourLeaf Federal Credit Union,NY,10036,,Referral,2026-08-10 17:19:27+00:00,Closed with explanation,No,25164294,True,False,Checking or savings account::Opening an account
2026-08-10 08:39:04+00:00,Checking or savings account,Savings account,Managing an account,Banking errors,,,FIRST FOUNDATION INC.,CA,91016,,Web,2026-08-10 08:50:45+00:00,Untimely response,No,25150317,True,False,Checking or savings account::Managing an account
2026-08-10 06:39:13+00:00,Credit card,General-purpose credit card or charge card,Trouble using your card,Can't use card to make purchases,,,"BANK OF AMERICA, NATIONAL ASSOCIATION",SC,29926,,Web,2026-08-10 06:42:56+00:00,Untimely response,No,25148357,True,False,Credit card::Trouble using your card
2026-08-09 14:23:04+00:00,"Money transfer, virtual currency, or money service",International money transfer,Other transaction problem,,,,WorldRemit Corp.,NY,100XX,,Web,2026-08-09 14:30:45+00:00,Untimely response,No,25135477,True,False,"Money transfer, virtual currency, or money service::Other transaction problem"
2026-08-08 18:42:05+00:00,"Money transfer, virtual currency, or money service",International money transfer,Money was not available when promised,,,,WorldRemit Corp.,MI,48075,Older American,Web,2026-08-08 18:52:27+00:00,Closed with monetary relief,No,25121740,True,False,"Money transfer, virtual currency, or money service::Money was not available when promised"
2026-08-08 18:01:38+00:00,Checking or savings account,Checking account,Problem with a lender or other company charging your account,Transaction was not authorized,,,FinCo Services Inc DBA Current,OH,45044,,Web,2026-08-08 18:07:29+00:00,Closed with explanation,No,25121059,True,False,Checking or savings account::Problem with a lender or other company charging your account
2026-08-08 14:31:15+00:00,"Money transfer, virtual currency, or money service",Virtual currency,Money was not available when promised,,,,Abra,,XXXXX,,Web,2026-08-08 14:55:29+00:00,Untimely response,No,25117870,True,False,"Money transfer, virtual currency, or money service::Money was not available when promised"
2026-08-07 19:06:36+00:00,"Money transfer, virtual currency, or money service",Domestic (US) money transfer,Fraud or scam,,,,Novo Platform Inc.,CA,92592,Servicemember,Web,2026-08-07 19:35:59+00:00,Untimely response,No,25091128,True,False,"Money transfer, virtual currency, or money service::Fraud or scam"
2026-08-07 16:56:42+00:00,Credit card,General-purpose credit card or charge card,Getting a credit card,Card opened without my consent or knowledge,,,FinCo Services Inc DBA Current,NC,27103,Servicemember,Web,2026-08-07 17:20:54+00:00,Closed with explanation,No,25084922,True,False,Credit card::Getting a credit card
2026-08-07 15:38:37+00:00,Checking or savings account,Other banking product or service,Managing an account,Deposits and withdrawals,,,Conduent Incorporated,NY,130XX,,Web,2026-08-07 15:43:45+00:00,Untimely response,No,25080547,True,False,Checking or savings account::Managing an account
2026-08-06 21:05:33+00:00,Credit card,General-purpose credit card or charge card,Struggling to pay your bill,Filed for bankruptcy,,,"Capital Accounts, LLC",IL,60639,,Web,2026-08-06 21:34:19+00:00,Untimely response,No,25050703,True,False,Credit card::Struggling to pay your bill
2026-08-06 20:48:48+00:00,Credit card,General-purpose credit card or charge card,"Other features, terms, or problems",Credit card company forcing arbitration,,,"Capital Accounts, LLC",IL,XXXXX,Servicemember,Web,2026-08-06 21:25:10+00:00,Untimely response,No,25050262,True,False,"Credit card::Other features, terms, or problems"
2026-08-06 19:41:07+00:00,"Money transfer, virtual currency, or money service",International money transfer,Other transaction problem,,,Company believes complaint caused principally by actions of third party outside the control or direction of the company,TClub Inc,CA,95391,,Web,2026-08-06 20:00:37+00:00,Closed with explanation,No,25045994,True,False,"Money transfer, virtual currency, or money service::Other transaction problem"
2026-08-06 06:40:19+00:00,"Money transfer, virtual currency, or money service",International money transfer,Money was not available when promised,,,Company believes complaint caused principally by actions of third party outside the control or direction of the company,TClub Inc,TX,75019,,Web,2026-08-06 06:51:28+00:00,Closed with explanation,No,25021389,True,False,"Money transfer, virtual currency, or money service::Money was not available when promised"
2026-08-05 23:02:52+00:00,"Money transfer, virtual currency, or money service",International money transfer,Money was not available when promised,,,Company believes complaint caused principally by actions of third party outside the control or direction of the company,TClub Inc,NC,28270,,Web,2026-08-05 23:24:42+00:00,Closed with explanation,No,25009545,True,False,"Money transfer, virtual currency, or money service::Money was not available when promised"
2026-08-05 22:55:23+00:00,"Money transfer, virtual currency, or money service",International money transfer,Money was not available when promised,,,Company believes complaint caused principally by actions of third party outside the control or direction of the company,TClub Inc,CA,90038,,Web,2026-08-05 23:05:58+00:00,Closed with explanation,No,25008759,True,False,"Money transfer, virtual currency, or money service::Money was not available when promised"
2026-08-05 21:39:15+00:00,"Money transfer, virtual currency, or money service",International money transfer,Money was not available when promised,,,Company believes complaint caused principally by actions of third party outside the control or direction of the company,TClub Inc,MD,21001,,Web,2026-08-05 21:49:38+00:00,Closed with explanation,No,25005166,True,False,"Money transfer, virtual currency, or money service::Money was not available when promised"
2026-08-05 19:17:53+00:00,Checking or savings account,Checking account,Managing an account,Deposits and withdrawals,,,CapitalJ Inc. dba Juno,PA,19122,,Web,2026-08-05 19:49:28+00:00,Closed with explanation,No,24998490,True,False,Checking or savings account::Managing an account
2026-08-05 15:27:43+00:00,Checking or savings account,Other banking product or service,Closing an account,Funds not received from closed account,,,Lincoln Financial Services,PA,17404,,Web,2026-08-05 15:42:24+00:00,Untimely response,No,24985721,True,False,Checking or savings account::Closing an account
2026-08-05 13:24:32+00:00,"Money transfer, virtual currency, or money service",International money transfer,Money was not available when promised,,,Company believes complaint caused principally by actions of third party outside the control or direction of the company,TClub Inc,TX,78727,,Web,2026-08-05 13:42:31+00:00,Closed with explanation,No,24980892,True,False,"Money transfer, virtual currency, or money service::Money was not available when promised"
2026-08-05 04:02:32+00:00,"Money transfer, virtual currency, or money service",Foreign currency exchange,Confusing or missing disclosures,,,Company believes complaint caused principally by actions of third party outside the control or direction of the company,TClub Inc,CA,940XX,,Web,2026-08-05 04:10:50+00:00,Closed with explanation,No,24967741,True,False,"Money transfer, virtual currency, or money service::Confusing or missing disclosures"
2026-08-05 02:32:23+00:00,"Money transfer, virtual currency, or money service",International money transfer,Money was not available when promised,,,Company believes complaint caused principally by actions of third party outside the control or direction of the company,TClub Inc,IL,60504,,Web,2026-08-05 02:54:31+00:00,Closed with explanation,No,24965716,True,False,"Money transfer, virtual currency, or money service::Money was not available when promised"
2026-08-05 02:01:33+00:00,"Money transfer, virtual currency, or money service",International money transfer,Money was not available when promised,,,Company believes complaint caused principally by actions of third party outside the control or direction of the company,TClub Inc,IL,60504,,Web,2026-08-05 02:30:50+00:00,Closed with explanation,No,24964972,True,False,"Money transfer, virtual currency, or money service::Money was not available when promised"
2026-08-04 20:51:26+00:00,"Money transfer, virtual currency, or money service",International money transfer,Money was not available when promised,,,Company believes complaint caused principally by actions of third party outside the control or direction of the company,TClub Inc,MI,48336,,Web,2026-08-04 21:12:22+00:00,Closed with explanation,No,24952816,True,False,"Money transfer, virtual currency, or money service::Money was not available when promised"
2026-08-04 03:35:47+00:00,"Money transfer, virtual currency, or money service",International money transfer,Money was not available when promised,,,Company believes complaint caused principally by actions of third party outside the control or direction of the company,TClub Inc,NH,031XX,,Web,2026-08-04 03:49:57+00:00,Closed with explanation,No,24918076,True,False,"Money transfer, virtual currency, or money service::Money was not available when promised"
2026-08-04 00:41:17+00:00,"Money transfer, virtual currency, or money service",Foreign currency exchange,Problem with customer service,,,Company believes complaint caused principally by actions of third party outside the control or direction of the company,TClub Inc,PA,16066,,Web,2026-08-04 01:04:55+00:00,Closed with explanation,No,24912793,True,False,"Money transfer, virtual currency, or money service::Problem with customer service"
2026-08-03 20:30:58+00:00,Credit card,General-purpose credit card or charge card,Getting a credit card,Card opened without my consent or knowledge,,,"Credit Karma, LLC",OH,45242,,Web,2026-08-03 20:36:43+00:00,Closed with non-monetary relief,No,24902493,True,False,Credit card::Getting a credit card
2026-08-03 19:06:40+00:00,"Money transfer, virtual currency, or money service",International money transfer,Money was not available when promised,,,Company believes the complaint is the result of a misunderstanding,TClub Inc,CA,95219,,Web,2026-08-03 19:10:22+00:00,Closed with explanation,No,24898163,True,False,"Money transfer, virtual currency, or money service::Money was not available when promised"
2026-08-03 16:22:38+00:00,Checking or savings account,Checking account,Managing an account,Deposits and withdrawals,,,CapitalJ Inc. dba Juno,CA,94401,,Web,2026-08-03 16:38:13+00:00,Closed with explanation,No,24891295,True,False,Checking or savings account::Managing an account
2026-08-02 20:40:37+00:00,Checking or savings account,Checking account,Managing an account,Problem using a debit or ATM card,,,FinCo Services Inc DBA Current,AZ,85048,,Web,2026-08-02 22:16:01+00:00,Closed with explanation,No,24871921,True,False,Checking or savings account::Managing an account
2026-08-02 16:03:28+00:00,"Money transfer, virtual currency, or money service",International money transfer,Money was not available when promised,,,Company believes the complaint is the result of a misunderstanding,TClub Inc,TX,75025,,Web,2026-08-02 16:19:21+00:00,Closed with explanation,No,24868127,True,False,"Money transfer, virtual currency, or money service::Money was not available when promised"
2026-08-02 03:48:25+00:00,Checking or savings account,Checking account,Problem with a lender or other company charging your account,Transaction was not authorized,,,FinCo Services Inc DBA Current,IL,60411,,Web,2026-08-02 04:12:07+00:00,Closed with explanation,No,24861324,True,False,Checking or savings account::Problem with a lender or other company charging your account
2026-08-01 12:38:19+00:00,Checking or savings account,Checking account,Managing an account,Problem accessing account,,,SIMMONS FIRST NATIONAL CORPORATION,AR,72209,,Web,2026-08-01 12:47:48+00:00,Closed with explanation,No,24849925,True,False,Checking or savings account::Managing an account
2026-08-01 12:10:48+00:00,Checking or savings account,Savings account,Managing an account,Funds not handled or disbursed as instructed,,,FinCo Services Inc DBA Current,NY,10459,,Web,2026-08-01 12:31:07+00:00,Closed with explanation,No,24849789,True,False,Checking or savings account::Managing an account
2026-08-01 06:33:13+00:00,"Money transfer, virtual currency, or money service",International money transfer,Money was not available when promised,,,Company believes the complaint is the result of a misunderstanding,TClub Inc,FL,33801,,Web,2026-08-01 07:10:39+00:00,Closed with explanation,No,24845788,True,False,"Money transfer, virtual currency, or money service::Money was not available when promised"
2026-07-31 21:44:12+00:00,Checking or savings account,Checking account,Closing an account,Funds not received from closed account,,,CARD Corporation,NJ,07036,,Web,2026-07-31 21:57:35+00:00,Untimely response,No,24832509,True,False,Checking or savings account::Closing an account
2026-07-31 20:31:15+00:00,"Money transfer, virtual currency, or money service",International money transfer,Money was not available when promised,,,Company believes the complaint is the result of a misunderstanding,TClub Inc,TX,75025,,Web,2026-07-31 20:57:26+00:00,Closed with explanation,No,24829498,True,False,"Money transfer, virtual currency, or money service::Money was not available when promised"
2026-07-30 16:40:49+00:00,Credit card,General-purpose credit card or charge card,Trouble using your card,Can't use card to make purchases,,,Conduent Incorporated,NY,13501,,Web,2026-07-30 16:47:25+00:00,Untimely response,No,24775292,True,False,Credit card::Trouble using your card
2026-07-30 03:03:31+00:00,"Money transfer, virtual currency, or money service",Foreign currency exchange,Confusing or misleading advertising or marketing,,,Company believes the complaint is the result of a misunderstanding,TClub Inc,NJ,08820,,Web,2026-07-30 03:14:01+00:00,Closed with explanation,No,24754507,True,False,"Money transfer, virtual currency, or money service::Confusing or misleading advertising or marketing"
2026-07-30 02:29:33+00:00,Checking or savings account,Checking account,Managing an account,Funds not handled or disbursed as instructed,,,FinCo Services Inc DBA Current,CA,92806,,Web,2026-07-30 02:44:22+00:00,Closed with explanation,No,24753801,True,False,Checking or savings account::Managing an account
2026-07-29 22:22:02+00:00,Credit card,General-purpose credit card or charge card,Problem with a purchase shown on your statement,Card was charged for something you did not purchase with the card,,,FinCo Services Inc DBA Current,CA,95926,,Web,2026-07-29 22:57:15+00:00,Closed with explanation,No,24746866,True,False,Credit card::Problem with a purchase shown on your statement
2026-07-29 18:48:53+00:00,"Money transfer, virtual currency, or money service",Mobile or digital wallet,Unauthorized transactions or other transaction problem,,,,"AlpacaDB, Inc.",MN,558XX,Older American,Web,2026-07-29 19:05:53+00:00,Untimely response,No,24735824,True,False,"Money transfer, virtual currency, or money service::Unauthorized transactions or other transaction problem"
2026-07-29 18:39:43+00:00,"Money transfer, virtual currency, or money service",International money transfer,Money was not available when promised,,"On XX/XX/year>, I initiated an international remittance transfer. The exact amount of {$6000.00} was successfully debited from my checking account via XXXX by the merchant 's payment processor ( BRIDGE BUILDING ). 
The merchant, Abound ( XXXX XXXX XXXX ), has failed to make these funds available by the promised date. The estimated time of arrival has been continuously delayed without explanation, moving from XX/XX/XXXX to XX/XX/XXXX, XXXX, XXXX, XXXX, and now into XX/XX/XXXX. I have contacted their support team multiple times ( Ticket created by XXXX XXXX on XX/XX/year> ), but they are completely unresponsive and are unlawfully holding my money. I am requesting an immediate cancellation of this transfer and a full refund of {$6000.00} to my original payment method due to services not rendered.",Company believes the complaint is the result of a misunderstanding,TClub Inc,SC,29707,,Web,2026-07-29 19:30:47+00:00,Closed with explanation,No,24737134,True,False,"Money transfer, virtual currency, or money service::Money was not available when promised"
2026-07-29 17:36:51+00:00,Credit card,General-purpose credit card or charge card,Problem with a purchase shown on your statement,Credit card company isn't resolving a dispute about a purchase on your statement,,,"Marlette Funding, LLC",MI,490XX,,Web,2026-07-29 17:43:16+00:00,Closed with non-monetary relief,No,24731751,True,False,Credit card::Problem with a purchase shown on your statement
2026-07-29 05:55:58+00:00,"Money transfer, virtual currency, or money service",International money transfer,Other transaction problem,,,,"BANK OF NEW YORK MELLON CORPORATION, THE",NY,10011,,Web,2026-07-29 06:01:56+00:00,Closed with explanation,No,24711642,True,False,"Money transfer, virtual currency, or money service::Other transaction problem"
2026-07-29 05:55:24+00:00,"Money transfer, virtual currency, or money service",International money transfer,Money was not available when promised,,,Company believes the complaint is the result of a misunderstanding,TClub Inc,MA,01609,,Web,2026-07-29 06:05:33+00:00,Closed with explanation,No,24711734,True,False,"Money transfer, virtual currency, or money service::Money was not available when promised"
2026-07-28 13:09:32+00:00,Checking or savings account,Other banking product or service,Closing an account,Can't close your account,,,"AlpacaDB, Inc.",MA,02155,,Web,2026-07-28 14:17:41+00:00,Untimely response,No,24675072,True,False,Checking or savings account::Closing an account
2026-07-28 05:11:33+00:00,"Money transfer, virtual currency, or money service",International money transfer,Money was not available when promised,,"Summary of Incident : I initiated an international remittance transfer ( Transaction ID : XXXX ) from my XXXX XXXX account to my XXXX bank account in XXXX using the Abound application. The funds were debited from my XXXX XXXX account, and the status in the Abound app updated to "" Delivered '' / "" Completed. '' However, the funds were never deposited into my XXXX bank account. 

Actions Taken by Me : 1. Checked my XXXX  account statement for the transaction period ( XX/XX/XXXX XX/XX/year> ) and confirmed zero credit was received. 
2. Contacted Abound support and submitted ticket # XXXX along with attached bank statements proving non-receipt of funds. 
3. Explicitly requested the XXXX Unique Transaction Reference ( XXXX  ) number multiple times via email so I could trace the deposit with my receiving bank in XXXX. 
4. Attempted to access Abound 's online support/XXXX  portal to view ticket statuses, but received an "" Unauthorized '' access error page. 

Actions Taken by Company : 1. Merged and closed initial support tickets without resolution. 
2. Addressed me by the wrong name ( "" XXXX XXXX '' ) in support correspondence before sending a follow-up email telling me to ignore the response entirely. 
3. Claimed to have escalated the issue to their banking partner on priority, but provided no ticket confirmation, investigation reference, or evidence of escalation. 
4. Failed and refused to provide the requested XXXX XXXX reference number across multiple email follow-ups. 

Impact & Requested Resolution : Abound is marking unreceived remittance transfers as "" Completed '' / "" Delivered '' in their mobile app while failing to provide a banking trace ( XXXX  ) number or proper error resolution under federal remittance guidelines. I request that Abound immediately provide official bank proof of delivery ( XXXX XXXX number ) showing successful deposit into my XXXX  account, OR issue a full refund of the transfer amount and associated fees to my source account.",Company believes the complaint is the result of a misunderstanding,TClub Inc,TX,78641,,Web,2026-07-28 13:50:48+00:00,Closed with explanation,No,24664812,True,False,"Money transfer, virtual currency, or money service::Money was not available when promised"
2026-07-27 21:07:31+00:00,Credit card,General-purpose credit card or charge card,Problem with a purchase shown on your statement,Credit card company isn't resolving a dispute about a purchase on your statement,,,Conduent Incorporated,NY,14120,,Web,2026-07-27 21:30:16+00:00,Untimely response,No,24652991,True,False,Credit card::Problem with a purchase shown on your statement
2026-07-27 17:14:57+00:00,Credit card,General-purpose credit card or charge card,Problem with a purchase shown on your statement,Card was charged for something you did not purchase with the card,,,"Capstone Capital USA, LLC",ID,83401,,Web,2026-07-27 17:27:46+00:00,Untimely response,No,24641198,True,False,Credit card::Problem with a purchase shown on your statement
2026-07-24 21:49:02+00:00,Credit card,General-purpose credit card or charge card,Closing your account,Company closed your account,,,"Capstone Capital USA, LLC",LA,712XX,,Web,2026-07-24 21:59:19+00:00,Untimely response,No,24583810,True,False,Credit card::Closing your account
2026-07-24 20:07:18+00:00,Checking or savings account,Checking account,Closing an account,Funds not received from closed account,,,"Capital Accounts, LLC",PA,19082,,Web,2026-07-24 20:18:52+00:00,Untimely response,No,24579198,True,False,Checking or savings account::Closing an account
2026-07-24 19:11:35+00:00,"Money transfer, virtual currency, or money service",Foreign currency exchange,Problem with customer service,,,Company believes the complaint is the result of a misunderstanding,TClub Inc,NC,27519,,Web,2026-07-24 19:33:31+00:00,Closed with explanation,No,24577110,True,False,"Money transfer, virtual currency, or money service::Problem with customer service"
2026-07-24 14:40:35+00:00,"Money transfer, virtual currency, or money service","Money order, traveler's check or cashier's check",Lost or stolen money order,,,,Assured Financial Partners,MO,641XX,,Web,2026-07-24 14:46:56+00:00,Untimely response,No,24564313,True,False,"Money transfer, virtual currency, or money service::Lost or stolen money order"
2026-07-24 03:09:58+00:00,Checking or savings account,Checking account,Managing an account,Deposits and withdrawals,,,UMB FINANCIAL CORPORATION,MO,64130,Older American,Web,2026-07-24 03:44:00+00:00,Closed with explanation,No,24550120,True,False,Checking or savings account::Managing an account
2026-07-23 17:42:18+00:00,"Money transfer, virtual currency, or money service",Domestic (US) money transfer,Other transaction problem,,,,ROBINHOOD MARKETS INC.,FL,34293,,Web,2026-07-23 17:52:31+00:00,Closed with explanation,No,24527434,True,False,"Money transfer, virtual currency, or money service::Other transaction problem"
2026-07-22 21:31:01+00:00,Checking or savings account,Checking account,Managing an account,Deposits and withdrawals,,,Skyline Financial Corp.,TX,79932,,Web,2026-07-22 21:39:29+00:00,Untimely response,No,24491531,True,False,Checking or savings account::Managing an account
2026-07-22 19:10:46+00:00,Checking or savings account,Checking account,Problem caused by your funds being low,Non-sufficient funds and associated fees,,,Alliance Capital Corp.,MO,631XX,,Web,2026-07-22 19:26:58+00:00,Untimely response,No,24485359,True,False,Checking or savings account::Problem caused by your funds being low
2026-07-22 18:22:50+00:00,Checking or savings account,Checking account,Problem caused by your funds being low,Overdrafts and overdraft fees,,,FinCo Services Inc DBA Current,PA,15317,,Web,2026-07-22 18:30:49+00:00,Closed with explanation,No,24482601,True,False,Checking or savings account::Problem caused by your funds being low
2026-07-21 18:43:33+00:00,Checking or savings account,Savings account,Managing an account,Deposits and withdrawals,,,GOLDMAN SACHS BANK USA,CA,93063,,Web,2026-07-21 19:22:00+00:00,Closed with explanation,No,24439015,True,False,Checking or savings account::Managing an account
